T,X,Y,Z
5.8036612128114677e+04,-4.7226843766896731e+08,3.7154400906019342e+08,0.0000000000000000e+00
5.8041612267007418e+04,-4.7231864715763885e+08,3.7155878224397486e+08,0.0000000000000000e+00
5.8046612405900174e+04,-4.7236885458244652e+08,3.7157355380417734e+08,0.0000000000000000e+00
5.8051612544792915e+04,-4.7241905994367021e+08,3.7158832374112946e+08,0.0000000000000000e+00
5.8056612683685657e+04,-4.7246926324159414e+08,3.7160309205516142e+08,0.0000000000000000e+00
5.8061612822578412e+04,-4.7251946447649795e+08,3.7161785874660164e+08,0.0000000000000000e+00
5.8066612961471154e+04,-4.7256966364866322e+08,3.7163262381577939e+08,0.0000000000000000e+00
5.8071613100363902e+04,-4.7261986075836688e+08,3.7164738726302230e+08,0.0000000000000000e+00
5.8076613239256643e+04,-4.7267005580589688e+08,3.7166214908866113e+08,0.0000000000000000e+00
5.8081613378149399e+04,-4.7272024879153126e+08,3.7167690929302400e+08,0.0000000000000000e+00
5.8086613517042140e+04,-4.7277043971554798e+08,3.7169166787643796e+08,0.0000000000000000e+00
5.8091613655934896e+04,-4.7282062857822895e+08,3.7170642483923227e+08,0.0000000000000000e+00
5.8096613794827637e+04,-4.7287081537985814e+08,3.7172118018173629e+08,0.0000000000000000e+00
5.8101613933720379e+04,-4.7292100012071353e+08,3.7173593390427715e+08,0.0000000000000000e+00
5.8106614072613134e+04,-4.7297118280107552e+08,3.7175068600718307e+08,0.0000000000000000e+00
5.8111614211505876e+04,-4.7302136342122209e+08,3.7176543649078143e+08,0.0000000000000000e+00
5.8116614350398624e+04,-4.7307154198143929e+08,3.7178018535540158e+08,0.0000000000000000e+00
5.8121614489291373e+04,-4.7312171848200423e+08,3.7179493260137081e+08,0.0000000000000000e+00
5.8126614628184121e+04,-4.7317189292319787e+08,3.7180967822901636e+08,0.0000000000000000e+00
5.8131614767076862e+04,-4.7322206530529732e+08,3.7182442223866534e+08,0.0000000000000000e+00
5.8136614905969618e+04,-4.7327223562858790e+08,3.7183916463064682e+08,0.0000000000000000e+00
5.8141615044862359e+04,-4.7332240389334708e+08,3.7185390540528715e+08,0.0000000000000000e+00
5.8146615183755101e+04,-4.7337257009985459e+08,3.7186864456291372e+08,0.0000000000000000e+00
5.8151615322647856e+04,-4.7342273424838781e+08,3.7188338210385293e+08,0.0000000000000000e+00
5.8156615461540598e+04,-4.7347289633923209e+08,3.7189811802843338e+08,0.0000000000000000e+00
5.8161615600433353e+04,-4.7352305637266499e+08,3.7191285233698153e+08,0.0000000000000000e+00
5.8166615739326095e+04,-4.7357321434896529e+08,3.7192758502982384e+08,0.0000000000000000e+00
5.8171615878218843e+04,-4.7362337026841098e+08,3.7194231610728657e+08,0.0000000000000000e+00
5.8176616017111584e+04,-4.7367352413128531e+08,3.7195704556969744e+08,0.0000000000000000e+00
5.8181616156004340e+04,-4.7372367593786782e+08,3.7197177341738302e+08,0.0000000000000000e+00
5.8186616294897081e+04,-4.7377382568843412e+08,3.7198649965066874e+08,0.0000000000000000e+00
5.8191616433789837e+04,-4.7382397338326508e+08,3.7200122426988125e+08,0.0000000000000000e+00
5.8196616572682578e+04,-4.7387411902264309e+08,3.7201594727534789e+08,0.0000000000000000e+00
5.8201616711575320e+04,-4.7392426260684532e+08,3.7203066866739386e+08,0.0000000000000000e+00
5.8206616850468075e+04,-4.7397440413614935e+08,3.7204538844634485e+08,0.0000000000000000e+00
5.8211616989360817e+04,-4.7402454361083412e+08,3.7206010661252671e+08,0.0000000000000000e+00
5.8216617128253565e+04,-4.7407468103118300e+08,3.7207482316626674e+08,0.0000000000000000e+00
5.8221617267146306e+04,-4.7412481639747101e+08,3.7208953810788918e+08,0.0000000000000000e+00
5.8226617406039062e+04,-4.7417494970997941e+08,3.7210425143772048e+08,0.0000000000000000e+00
5.8231617544931803e+04,-4.7422508096898252e+08,3.7211896315608484e+08,0.0000000000000000e+00
5.8236617683824559e+04,-4.7427521017476505e+08,3.7213367326330930e+08,0.0000000000000000e+00
5.8241617822717300e+04,-4.7432533732760352e+08,3.7214838175971872e+08,0.0000000000000000e+00
5.8246617961610042e+04,-4.7437546242777574e+08,3.7216308864563775e+08,0.0000000000000000e+00
5.8251618100502797e+04,-4.7442558547555846e+08,3.7217779392139107e+08,0.0000000000000000e+00
5.8256618239395539e+04,-4.7447570647123492e+08,3.7219249758730513e+08,0.0000000000000000e+00
5.8261618378288294e+04,-4.7452582541508114e+08,3.7220719964370424e+08,0.0000000000000000e+00
5.8266618517181036e+04,-4.7457594230737573e+08,3.7222190009091294e+08,0.0000000000000000e+00
5.8271618656073784e+04,-4.7462605714839411e+08,3.7223659892925525e+08,0.0000000000000000e+00
5.8276618794966525e+04,-4.7467616993841982e+08,3.7225129615905720e+08,0.0000000000000000e+00
5.8281618933859281e+04,-4.7472628067772859e+08,3.7226599178064257e+08,0.0000000000000000e+00
5.8286619072752022e+04,-4.7477638936659807e+08,3.7228068579433572e+08,0.0000000000000000e+00
5.8291619211644764e+04,-4.7482649600530434e+08,3.7229537820046020e+08,0.0000000000000000e+00
5.8296619350537519e+04,-4.7487660059412980e+08,3.7231006899934137e+08,0.0000000000000000e+00
5.8301619489430261e+04,-4.7492670313335085e+08,3.7232475819130307e+08,0.0000000000000000e+00
5.8306619628323017e+04,-4.7497680362324411e+08,3.7233944577666879e+08,0.0000000000000000e+00
5.8311619767215758e+04,-4.7502690206408542e+08,3.7235413175576186e+08,0.0000000000000000e+00
5.8316619906108506e+04,-4.7507699845615798e+08,3.7236881612890744e+08,0.0000000000000000e+00
5.8321620045001247e+04,-4.7512709279973680e+08,3.7238349889642882e+08,0.0000000000000000e+00
5.8326620183894003e+04,-4.7517718509509915e+08,3.7239818005864900e+08,0.0000000000000000e+00
5.8331620322786745e+04,-4.7522727534252042e+08,3.7241285961589104e+08,0.0000000000000000e+00
5.8336620461679500e+04,-4.7527736354228234e+08,3.7242753756847960e+08,0.0000000000000000e+00
5.8341620600572242e+04,-4.7532744969465989e+08,3.7244221391673696e+08,0.0000000000000000e+00
5.8346620739464983e+04,-4.7537753379993224e+08,3.7245688866098720e+08,0.0000000000000000e+00
5.8351620878357739e+04,-4.7542761585837305e+08,3.7247156180155176e+08,0.0000000000000000e+00
5.8356621017250480e+04,-4.7547769587026054e+08,3.7248623333875424e+08,0.0000000000000000e+00
5.8361621156143236e+04,-4.7552777383587462e+08,3.7250090327291828e+08,0.0000000000000000e+00
5.8366621295035977e+04,-4.7557784975549096e+08,3.7251557160436600e+08,0.0000000000000000e+00
5.8371621433928725e+04,-4.7562792362938648e+08,3.7253023833342022e+08,0.0000000000000000e+00
5.8376621572821467e+04,-4.7567799545783615e+08,3.7254490346040267e+08,0.0000000000000000e+00
5.8381621711714222e+04,-4.7572806524112087e+08,3.7255956698563737e+08,0.0000000000000000e+00
5.8386621850606964e+04,-4.7577813297951519e+08,3.7257422890944535e+08,0.0000000000000000e+00
5.8391621989499705e+04,-4.7582819867329508e+08,3.7258888923214900e+08,0.0000000000000000e+00
5.8396622128392461e+04,-4.7587826232273668e+08,3.7260354795407033e+08,0.0000000000000000e+00
5.8401622267285202e+04,-4.7592832392811906e+08,3.7261820507553190e+08,0.0000000000000000e+00
5.8406622406177958e+04,-4.7597838348971885e+08,3.7263286059685558e+08,0.0000000000000000e+00
5.8411622545070699e+04,-4.7602844100780863e+08,3.7264751451836222e+08,0.0000000000000000e+00
5.8416622683963447e+04,-4.7607849648266906e+08,3.7266216684037471e+08,0.0000000000000000e+00
5.8421622822856189e+04,-4.7612854991457504e+08,3.7267681756321436e+08,0.0000000000000000e+00
5.8426622961748944e+04,-4.7617860130380350e+08,3.7269146668720269e+08,0.0000000000000000e+00
5.8431623100641686e+04,-4.7622865065063000e+08,3.7270611421266085e+08,0.0000000000000000e+00
5.8436623239534427e+04,-4.7627869795532823e+08,3.7272076013990951e+08,0.0000000000000000e+00
5.8441623378427183e+04,-4.7632874321817702e+08,3.7273540446927071e+08,0.0000000000000000e+00
5.8446623517319924e+04,-4.7637878643945426e+08,3.7275004720106614e+08,0.0000000000000000e+00
5.8451623656212680e+04,-4.7642882761943352e+08,3.7276468833561605e+08,0.0000000000000000e+00
5.8456623795105421e+04,-4.7647886675838757e+08,3.7277932787324035e+08,0.0000000000000000e+00
5.8461623933998177e+04,-4.7652890385659808e+08,3.7279396581426150e+08,0.0000000000000000e+00
5.8466624072890918e+04,-4.7657893891433793e+08,3.7280860215899968e+08,0.0000000000000000e+00
5.8471624211783666e+04,-4.7662897193188268e+08,3.7282323690777498e+08,0.0000000000000000e+00
5.8476624350676408e+04,-4.7667900290950692e+08,3.7283787006090784e+08,0.0000000000000000e+00
5.8481624489569149e+04,-4.7672903184749037e+08,3.7285250161871988e+08,0.0000000000000000e+00
5.8486624628461905e+04,-4.7677905874610454e+08,3.7286713158153015e+08,0.0000000000000000e+00
5.8491624767354646e+04,-4.7682908360562479e+08,3.7288175994965881e+08,0.0000000000000000e+00
5.8496624906247402e+04,-4.7687910642632979e+08,3.7289638672342694e+08,0.0000000000000000e+00
5.8501625045140143e+04,-4.7692912720849323e+08,3.7291101190315408e+08,0.0000000000000000e+00
5.8506625184032899e+04,-4.7697914595238978e+08,3.7292563548915970e+08,0.0000000000000000e+00
5.8511625322925640e+04,-4.7702916265829456e+08,3.7294025748176402e+08,0.0000000000000000e+00
5.8516625461818388e+04,-4.7707917732648164e+08,3.7295487788128608e+08,0.0000000000000000e+00
5.8521625600711130e+04,-4.7712918995722836e+08,3.7296949668804616e+08,0.0000000000000000e+00
5.8526625739603885e+04,-4.7717920055080891e+08,3.7298411390236360e+08,0.0000000000000000e+00
5.8531625878496627e+04,-4.7722920910749865e+08,3.7299872952455789e+08,0.0000000000000000e+00
5.8536626017389368e+04,-4.7727921562756902e+08,3.7301334355494726e+08,0.0000000000000000e+00
5.8541626156282124e+04,-4.7732922011129963e+08,3.7302795599385226e+08,0.0000000000000000e+00
5.8546626295174865e+04,-4.7737922255896378e+08,3.7304256684159160e+08,0.0000000000000000e+00
5.8551626434067621e+04,-4.7742922297083467e+08,3.7305717609848392e+08,0.0000000000000000e+00
5.8556626572960362e+04,-4.7747922134718609e+08,3.7307178376484758e+08,0.0000000000000000e+00
5.8561626711853110e+04,-4.7752921768829757e+08,3.7308638984100336e+08,0.0000000000000000e+00
5.8566626850745859e+04,-4.7757921199443901e+08,3.7310099432726794e+08,0.0000000000000000e+00
5.8571626989638607e+04,-4.7762920426588500e+08,3.7311559722396040e+08,0.0000000000000000e+00
5.8576627128531349e+04,-4.7767919450290990e+08,3.7313019853139895e+08,0.0000000000000000e+00
5.8581627267424090e+04,-4.7772918270579052e+08,3.7314479824990290e+08,0.0000000000000000e+00
5.8586627406316846e+04,-4.7777916887479967e+08,3.7315939637978995e+08,0.0000000000000000e+00
5.8591627545209587e+04,-4.7782915301021177e+08,3.7317399292137855e+08,0.0000000000000000e+00
5.8596627684102343e+04,-4.7787913511229843e+08,3.7318858787498599e+08,0.0000000000000000e+00
5.8601627822995084e+04,-4.7792911518133557e+08,3.7320318124093044e+08,0.0000000000000000e+00
5.8606627961887840e+04,-4.7797909321759933e+08,3.7321777301953107e+08,0.0000000000000000e+00
5.8611628100780581e+04,-4.7802906922136080e+08,3.7323236321110421e+08,0.0000000000000000e+00
5.8616628239673330e+04,-4.7807904319289196e+08,3.7324695181596738e+08,0.0000000000000000e+00
5.8621628378566071e+04,-4.7812901513247120e+08,3.7326153883443934e+08,0.0000000000000000e+00
5.8626628517458812e+04,-4.7817898504037064e+08,3.7327612426683724e+08,0.0000000000000000e+00
5.8631628656351568e+04,-4.7822895291686243e+08,3.7329070811347789e+08,0.0000000000000000e+00
5.8636628795244309e+04,-4.7827891876221955e+08,3.7330529037467837e+08,0.0000000000000000e+00
5.8641628934137065e+04,-4.7832888257671922e+08,3.7331987105075699e+08,0.0000000000000000e+00
5.8646629073029806e+04,-4.7837884436063170e+08,3.7333445014202994e+08,0.0000000000000000e+00
5.8651629211922562e+04,-4.7842880411423230e+08,3.7334902764881462e+08,0.0000000000000000e+00
5.8656629350815303e+04,-4.7847876183778995e+08,3.7336360357142663e+08,0.0000000000000000e+00
5.8661629489708052e+04,-4.7852871753158432e+08,3.7337817791018486e+08,0.0000000000000000e+00
5.8666629628600793e+04,-4.7857867119588381e+08,3.7339275066540432e+08,0.0000000000000000e+00
5.8671629767493549e+04,-4.7862862283096492e+08,3.7340732183740276e+08,0.0000000000000000e+00
5.8676629906386290e+04,-4.7867857243709534e+08,3.7342189142649484e+08,0.0000000000000000e+00
5.8681630045279031e+04,-4.7872852001455456e+08,3.7343645943299913e+08,0.0000000000000000e+00
5.8686630184171787e+04,-4.7877846556361187e+08,3.7345102585723066e+08,0.0000000000000000e+00
5.8691630323064528e+04,-4.7882840908454221e+08,3.7346559069950628e+08,0.0000000000000000e+00
5.8696630461957284e+04,-4.7887835057761359e+08,3.7348015396014059e+08,0.0000000000000000e+00
5.8701630600850025e+04,-4.7892829004310459e+08,3.7349471563945144e+08,0.0000000000000000e+00
5.8706630739742781e+04,-4.7897822748128504e+08,3.7350927573775363e+08,0.0000000000000000e+00
5.8711630878635522e+04,-4.7902816289242715e+08,3.7352383425536293e+08,0.0000000000000000e+00
5.8716631017528271e+04,-4.7907809627680296e+08,3.7353839119259489e+08,0.0000000000000000e+00
5.8721631156421012e+04,-4.7912802763468820e+08,3.7355294654976624e+08,0.0000000000000000e+00
5.8726631295313753e+04,-4.7917795696635252e+08,3.7356750032719123e+08,0.0000000000000000e+00
5.8731631434206509e+04,-4.7922788427206999e+08,3.7358205252518600e+08,0.0000000000000000e+00
5.8736631573099250e+04,-4.7927780955210841e+08,3.7359660314406461e+08,0.0000000000000000e+00
5.8741631711992006e+04,-4.7932773280674601e+08,3.7361115218414372e+08,0.0000000000000000e+00
5.8746631850884747e+04,-4.7937765403625190e+08,3.7362569964573777e+08,0.0000000000000000e+00
5.8751631989777503e+04,-4.7942757324089915e+08,3.7364024552916181e+08,0.0000000000000000e+00
5.8756632128670244e+04,-4.7947749042095596e+08,3.7365478983472985e+08,0.0000000000000000e+00
5.8761632267562993e+04,-4.7952740557670015e+08,3.7366933256275827e+08,0.0000000000000000e+00
5.8766632406455734e+04,-4.7957731870840144e+08,3.7368387371356118e+08,0.0000000000000000e+00
5.8771632545348475e+04,-4.7962722981633103e+08,3.7369841328745276e+08,0.0000000000000000e+00
5.8776632684241231e+04,-4.7967713890076101e+08,3.7371295128474772e+08,0.0000000000000000e+00
5.8781632823133972e+04,-4.7972704596195912e+08,3.7372748770575947e+08,0.0000000000000000e+00
5.8786632962026728e+04,-4.7977695100020450e+08,3.7374202255080438e+08,0.0000000000000000e+00
5.8791633100919469e+04,-4.7982685401576406e+08,3.7375655582019520e+08,0.0000000000000000e+00
5.8796633239812225e+04,-4.7987675500890827e+08,3.7377108751424563e+08,0.0000000000000000e+00
5.8801633378704966e+04,-4.7992665397991174e+08,3.7378561763327074e+08,0.0000000000000000e+00
5.8806633517597722e+04,-4.7997655092904574e+08,3.7380014617758435e+08,0.0000000000000000e+00
5.8811633656490463e+04,-4.8002644585657984e+08,3.7381467314749992e+08,0.0000000000000000e+00
5.8816633795383212e+04,-4.8007633876278597e+08,3.7382919854333115e+08,0.0000000000000000e+00
5.8821633934275953e+04,-4.8012622964793301e+08,3.7384372236539096e+08,0.0000000000000000e+00
5.8826634073168694e+04,-4.8017611851229602e+08,3.7385824461399400e+08,0.0000000000000000e+00
5.8831634212061450e+04,-4.8022600535614526e+08,3.7387276528945369e+08,0.0000000000000000e+00
5.8836634350954191e+04,-4.8027589017974764e+08,3.7388728439208180e+08,0.0000000000000000e+00
5.8841634489846947e+04,-4.8032577298337919e+08,3.7390180192219305e+08,0.0000000000000000e+00
5.8846634628739688e+04,-4.8037565376730895e+08,3.7391631788010025e+08,0.0000000000000000e+00
5.8851634767632444e+04,-4.8042553253180766e+08,3.7393083226611626e+08,0.0000000000000000e+00
5.8856634906525185e+04,-4.8047540927714604e+08,3.7394534508055395e+08,0.0000000000000000e+00
5.8861635045417934e+04,-4.8052528400359213e+08,3.7395985632372534e+08,0.0000000000000000e+00
5.8866635184310675e+04,-4.8057515671142209e+08,3.7397436599594498e+08,0.0000000000000000e+00
5.8871635323203416e+04,-4.8062502740090203e+08,3.7398887409752393e+08,0.0000000000000000e+00
5.8876635462096172e+04,-4.8067489607230288e+08,3.7400338062877488e+08,0.0000000000000000e+00
5.8881635600988913e+04,-4.8072476272589755e+08,3.7401788559001118e+08,0.0000000000000000e+00
5.8886635739881669e+04,-4.8077462736195487e+08,3.7403238898154444e+08,0.0000000000000000e+00
5.8891635878774410e+04,-4.8082448998074567e+08,3.7404689080368733e+08,0.0000000000000000e+00
5.8896636017667166e+04,-4.8087435058253872e+08,3.7406139105675119e+08,0.0000000000000000e+00
5.8901636156559907e+04,-4.8092420916760325e+08,3.7407588974104810e+08,0.0000000000000000e+00
5.8906636295452663e+04,-4.8097406573621362e+08,3.7409038685689104e+08,0.0000000000000000e+00
5.8911636434345404e+04,-4.8102392028863716e+08,3.7410488240459114e+08,0.0000000000000000e+00
5.8916636573238146e+04,-4.8107377282514435e+08,3.7411937638446027e+08,0.0000000000000000e+00
5.8921636712130894e+04,-4.8112362334600246e+08,3.7413386879680932e+08,0.0000000000000000e+00
5.8926636851023635e+04,-4.8117347185148627e+08,3.7414835964195114e+08,0.0000000000000000e+00
5.8931636989916391e+04,-4.8122331834186178e+08,3.7416284892019624e+08,0.0000000000000000e+00
5.8936637128809132e+04,-4.8127316281740141e+08,3.7417733663185662e+08,0.0000000000000000e+00
5.8941637267701888e+04,-4.8132300527837139e+08,3.7419182277724260e+08,0.0000000000000000e+00
5.8946637406594629e+04,-4.8137284572504330e+08,3.7420630735666573e+08,0.0000000000000000e+00
5.8951637545487385e+04,-4.8142268415768903e+08,3.7422079037043822e+08,0.0000000000000000e+00
5.8956637684380126e+04,-4.8147252057657516e+08,3.7423527181886971e+08,0.0000000000000000e+00
5.8961637823272875e+04,-4.8152235498196894e+08,3.7424975170227051e+08,0.0000000000000000e+00
5.8966637962165616e+04,-4.8157218737414509e+08,3.7426423002095318e+08,0.0000000000000000e+00
