ID,X,Y,Z,VX,VY,VZ,PART,MASS,RHO,RHO_0,P,E,HSML
2194,6.0925378159761429e+04,1.2830425984430313e+05,6.8550625581541797e+04,-2.0729394422249243e+01,9.4665179754694009e+00,3.3868047176146865e-01,1,1.0051851163000000e+16,9.0930996856000002e+02,9.1700000000000000e+02,1.9880213247000000e+06,2.2321513933000001e+05,2.5000000000000000e+04
2195,6.4840410159826279e+04,1.1196543684434891e+05,2.9979850851541851e+04,-1.8345185822249732e+01,1.0471594655469403e+01,2.4326087461468582e-02,1,1.0051851163000000e+16,9.0941439462999995e+02,9.1700000000000000e+02,3.1685561294999998e+06,2.2352284072000001e+05,2.5000000000000000e+04
2196,7.1449639159679413e+04,1.1503734784436226e+05,5.2823418951541826e+04,-1.8640297742249459e+01,1.1367190035469321e+01,9.2069432461468592e-02,1,1.0051851163000000e+16,9.0938125537999997e+02,9.1700000000000000e+02,2.8486440887000002e+06,2.2357739525999999e+05,2.5000000000000000e+04
2197,8.7007397159814835e+04,1.0672111184430122e+05,5.7008321581541852e+04,-1.7154893882249780e+01,1.3981032665469343e+01,-2.7192371338853139e-01,1,1.0051851163000000e+16,9.0943417076000003e+02,9.1700000000000000e+02,2.9238112311999998e+06,2.2227938743999999e+05,2.5000000000000000e+04
2198,8.7549119159698486e+04,9.9197059844255447e+04,2.1912785461541847e+04,-1.6120954262249143e+01,1.4408753155469299e+01,-2.0091813079853138e-01,1,1.0051851163000000e+16,9.0932916075000003e+02,9.1700000000000000e+02,2.3442399341000002e+06,2.2365884082000001e+05,2.5000000000000000e+04
2199,1.0809353315973282e+05,8.8332335844278336e+04,-1.1505553878458188e+04,-1.4655498492249535e+01,1.8042741775469381e+01,-5.7583751997853139e-01,1,1.0051851163000000e+16,9.0938085636000005e+02,9.1700000000000000e+02,2.5438154594000001e+06,2.2274145170000001e+05,2.5000000000000000e+04
2200,9.4354217159748077e+04,9.1465705844283104e+04,-4.7804475018458179e+04,-1.5584105072249258e+01,1.6027065165469253e+01,-3.2267587487853133e-01,1,1.0051851163000000e+16,9.0942524219999996e+02,9.1700000000000000e+02,2.5622705347000002e+06,2.2152881072000001e+05,2.5000000000000000e+04
2201,8.0203525159835815e+04,1.0101447384428978e+05,-6.6795612388458190e+04,-1.7239537352249499e+01,1.3768461205469293e+01,-2.5717029693853133e-01,1,1.0051851163000000e+16,9.0936486676000004e+02,9.1700000000000000e+02,2.7977429541000002e+06,2.2390263879999999e+05,2.5000000000000000e+04
2202,9.3160547159671783e+04,9.2816693844318390e+04,-8.2937447888458177e+04,-1.6075513352249800e+01,1.5974642455469279e+01,-3.5190579525853138e-01,1,1.0051851163000000e+16,9.0938992399999995e+02,9.1700000000000000e+02,2.0417890552999999e+06,2.2108789953000000e+05,2.5000000000000000e+04
2203,9.8696767159700394e+04,8.1178957844257355e+04,-1.0705467009845818e+05,-1.4399953062249551e+01,1.7045464745469303e+01,-4.4488269417853132e-01,1,1.0051851163000000e+16,9.0943880046000004e+02,9.1700000000000000e+02,1.4135070589000001e+06,2.1795037802000000e+05,2.5000000000000000e+04
